city_name,city_cnt
강릉,1
거제,1
경산,3
경주,3
고양,4
광명,1
광주,12
구리,2
구미,5
군산,2
군포,1
기타도시,33
김천,0
김해,2
남양주,8
논산,2
대구,17
대전,12
도시이외,51
목포,1
범죄대분류,강력범죄
범죄중분류,살인기수
부산,21
부천,6
서산,2
서울,56
성남,7
수원,4
순천,4
시흥,4
아산,3
안동,0
안산,9
안양,0
양산,1
여수,3
용인,4
울산,13
원주,2
의정부,2
이천,0
익산,4
인천,16
전주,6
정읍,2
제주,5
제천,1
진주,7
창원,7
천안,6
청주,2
춘천,1
충주,2
파주,4
평택,1
포항,6
강릉,3
거제,4
경산,4
경주,5
고양,7
광명,2
광주,7
구리,1
구미,0
군산,3
군포,0
기타도시,51
김천,1
김해,5
남양주,1
논산,4
대구,17
대전,17
도시이외,52
목포,3
범죄대분류,강력범죄
범죄중분류,살인미수등
부산,50
부천,6
서산,5
서울,100
성남,5
수원,12
순천,0
시흥,8
아산,4
안동,0
안산,3
안양,7
양산,4
여수,1
용인,4
울산,10
원주,4
의정부,7
이천,4
익산,1
인천,34
전주,3
정읍,1
제주,13
제천,5
진주,5
창원,14
천안,11
청주,12
춘천,1
충주,2
파주,6
평택,7
포항,5
강릉,11
거제,5
경산,4
경주,5
고양,17
광명,12
광주,53
구리,7
구미,20
군산,8
군포,5
기타도시,103
김천,3
김해,7
남양주,15
논산,5
대구,63
대전,82
도시이외,81
목포,12
범죄대분류,강력범죄
범죄중분류,강도
부산,131
부천,24
서산,4
서울,341
성남,28
수원,31
순천,5
시흥,12
아산,8
안동,0
안산,19
안양,12
양산,9
여수,8
용인,17
울산,32
원주,12
의정부,13
이천,13
익산,13
인천,111
전주,30
정읍,4
제주,25
제천,6
진주,7
창원,37
천안,33
청주,32
춘천,13
충주,4
파주,10
평택,19
포항,5
강릉,28
거제,26
경산,21
경주,35
고양,43
광명,35
광주,220
구리,22
구미,44
군산,23
군포,24
기타도시,392
김천,4
김해,44
남양주,37
논산,13
대구,219
대전,168
도시이외,323
목포,30
범죄대분류,강력범죄
범죄중분류,강간
부산,399
부천,78
서산,16
서울,1045
성남,102
수원,131
순천,23
시흥,41
아산,23
안동,19
안산,74
안양,77
양산,25
여수,24
용인,58
울산,126
원주,51
의정부,46
이천,15
익산,51
인천,308
전주,57
정읍,12
제주,73
제천,8
진주,31
창원,99
천안,75
청주,79
춘천,31
충주,15
파주,36
평택,39
포항,40
강릉,2
거제,0
경산,0
경주,1
고양,4
광명,2
광주,18
구리,0
구미,4
군산,2
군포,2
기타도시,26
김천,1
김해,2
남양주,1
논산,1
대구,12
대전,10
도시이외,20
목포,2
범죄대분류,강력범죄
범죄중분류,유사강간
부산,35
부천,6
서산,1
서울,99
성남,16
수원,11
순천,0
시흥,5
아산,0
안동,0
안산,7
안양,4
양산,4
여수,1
용인,2
울산,7
원주,0
의정부,2
이천,1
익산,2
인천,17
전주,3
정읍,0
제주,9
제천,2
진주,2
창원,5
천안,4
청주,3
춘천,0
충주,2
파주,3
평택,11
포항,1
강릉,64
거제,67
경산,59
경주,72
고양,224
광명,64
광주,577
구리,56
구미,59
군산,86
군포,61
기타도시,1000
김천,18
김해,87
남양주,101
논산,29
대구,675
대전,365
도시이외,718
목포,91
범죄대분류,강력범죄
범죄중분류,강제추행
부산,1035
부천,273
서산,47
서울,4132
성남,299
수원,395
순천,72
시흥,81
아산,69
안동,33
안산,190
안양,232
양산,51
여수,56
용인,164
울산,296
원주,93
의정부,144
이천,44
익산,62
인천,822
전주,164
정읍,37
제주,198
제천,55
진주,97
창원,181
천안,193
청주,199
춘천,70
충주,35
파주,84
평택,139
포항,96
강릉,8
거제,4
경산,6
경주,8
고양,5
광명,5
광주,22
구리,3
구미,5
군산,7
군포,6
기타도시,88
김천,1
김해,4
남양주,1
논산,5
대구,70
대전,29
도시이외,93
목포,8
범죄대분류,강력범죄
범죄중분류,기타강간강제추행등
부산,80
부천,18
서산,7
서울,181
성남,14
수원,12
순천,2
시흥,13
아산,5
안동,3
안산,10
안양,10
양산,4
여수,4
용인,19
울산,14
원주,6
의정부,4
이천,8
익산,9
인천,58
전주,18
정읍,9
제주,33
제천,4
진주,9
창원,11
천안,13
청주,8
춘천,3
충주,6
파주,1
평택,7
포항,10
강릉,11
거제,4
경산,9
경주,13
고양,28
광명,4
광주,44
구리,12
구미,10
군산,15
군포,6
기타도시,155
김천,12
김해,13
남양주,8
논산,8
대구,81
대전,42
도시이외,145
목포,7
범죄대분류,강력범죄
범죄중분류,방화
부산,109
부천,27
서산,10
서울,314
성남,21
수원,33
순천,9
시흥,16
아산,11
안동,7
안산,36
안양,10
양산,10
여수,15
용인,11
울산,36
원주,12
의정부,24
이천,5
익산,8
인천,112
전주,18
정읍,1
제주,42
제천,3
진주,11
창원,28
천안,33
청주,64
춘천,8
충주,10
파주,12
평택,21
포항,9
강릉,1074
거제,1313
경산,1408
경주,1239
고양,3690
광명,1666
광주,10361
구리,1023
구미,2315
군산,1311
군포,1287
기타도시,17551
김천,571
김해,3784
남양주,1784
논산,692
대구,14609
대전,11453
도시이외,13190
목포,1637
범죄대분류,절도범죄
범죄중분류,절도
부산,21898
부천,5682
서산,802
서울,59371
성남,4551
수원,6774
순천,1344
시흥,1874
아산,1430
안동,746
안산,4225
안양,2179
양산,1274
여수,1144
용인,2916
울산,5777
원주,1786
의정부,2600
이천,734
익산,1749
인천,9737
전주,3795
정읍,489
제주,4980
제천,583
진주,2265
창원,5519
천안,4412
청주,4805
춘천,1109
충주,1092
파주,1270
평택,2820
포항,2532
강릉,409
거제,468
경산,275
경주,386
고양,543
광명,195
광주,1186
구리,120
구미,568
군산,262
군포,165
기타도시,4638
김천,145
김해,624
남양주,310
논산,156
대구,2955
대전,1616
도시이외,4082
목포,346
범죄대분류,폭력범죄
범죄중분류,상해
부산,5422
부천,579
서산,207
서울,7985
성남,852
수원,892
순천,334
시흥,339
아산,362
안동,236
안산,632
안양,399
양산,286
여수,288
용인,429
울산,1349
원주,465
의정부,357
이천,190
익산,201
인천,2344
전주,467
정읍,121
제주,878
제천,175
진주,349
창원,1237
천안,536
청주,821
춘천,437
충주,257
파주,241
평택,551
포항,614